Date,Open,High,Low,Close,Adj Close,Volume
09-04-18,169.880005,173.089996,169.850006,170.050003,170.050003,29017700
10-04-18,173,174,171.529999,173.25,173.25,28408600
11-04-18,172.229996,173.919998,171.699997,172.440002,172.440002,22431600
12-04-18,173.410004,175,173.039993,174.139999,174.139999,22889300
13-04-18,174.779999,175.839996,173.850006,174.729996,174.729996,25124300
16-04-18,175.029999,176.190002,174.830002,175.820007,175.820007,21578400
17-04-18,176.490005,178.940002,176.410004,178.240005,178.240005,26605400
18-04-18,177.809998,178.820007,176.880005,177.839996,177.839996,20754500
19-04-18,173.759995,175.389999,172.660004,172.800003,172.800003,34808800
20-04-18,170.600006,171.220001,165.429993,165.720001,165.720001,65491100
23-04-18,166.830002,166.919998,164.089996,165.240005,165.240005,36515500
24-04-18,165.669998,166.330002,161.220001,162.940002,162.940002,33692000
25-04-18,162.619995,165.419998,162.410004,163.649994,163.649994,28382100
26-04-18,164.119995,165.729996,163.369995,164.220001,164.220001,27963000
27-04-18,164,164.330002,160.630005,162.320007,162.320007,35655800
30-04-18,162.130005,167.259995,161.839996,165.259995,165.259995,42427400
01-05-18,166.410004,169.199997,165.270004,169.100006,169.100006,53569400
02-05-18,175.229996,177.75,173.800003,176.570007,176.570007,66539400
03-05-18,175.880005,177.5,174.440002,176.889999,176.889999,34068200
04-05-18,178.25,184.25,178.169998,183.830002,183.830002,56201300
07-05-18,185.179993,187.669998,184.75,185.160004,185.160004,42451400
08-05-18,184.990005,186.220001,183.669998,186.050003,186.050003,28030400
